2014-05-04 20:47:44 INFO  HUBEndPointsStatus:106 - ...total 1 endpoints found
2014-05-04 21:39:17 WARN  riot:77 - [line: 186, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 190, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 192, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 196, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 198, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 202, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 204, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 208, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 210, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 214, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 216, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 220, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 222, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 226, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 228, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 232, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 234, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 238, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 240, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 244, col: 44] {W108} Not an XML Name: ''
